region,year,n
Albania,1960,1608800
Andorra,1960,13411
Austria,1960,7047539
Belgium,1960,9153489
Bulgaria,1960,7867374
Bosnia and Herzegovina,1960,3225668
Switzerland,1960,5327827
Cyprus,1960,572930
Czech Republic,1960,9602006
Germany,1960,72814900
Denmark,1960,4579603
Spain,1960,30455000
Estonia,1960,1211537
Finland,1960,4429634
France,1960,46621669
United Kingdom,1960,52400000
Gibraltar,1960,23420
Greece,1960,8331725
Croatia,1960,4140181
Hungary,1960,9983967
Ireland,1960,2828600
Iceland,1960,175574
Italy,1960,50199700
Liechtenstein,1960,16493
Lithuania,1960,2778550
Luxembourg,1960,313970
Latvia,1960,2120979
Monaco,1960,22452
Moldova,1960,2544000
North Macedonia,1960,1488667
Malta,1960,326550
Montenegro,1960,480579
Netherlands,1960,11486631
Norway,1960,3581239
Poland,1960,29637450
Portugal,1960,8857716
Romania,1960,18406905
Slovak Republic,1960,4068095
Slovenia,1960,1584720
Sweden,1960,7484656
Ukraine,1960,42664652
Uruguay,1960,2538643
Kosovo,1960,947000
Albania,1961,1659800
Andorra,1961,14375
Austria,1961,7086299
Belgium,1961,9183948
Bulgaria,1961,7943118
Bosnia and Herzegovina,1961,3288603
Switzerland,1961,5434294
Cyprus,1961,576395
Czech Republic,1961,9586651
Germany,1961,73377632
Denmark,1961,4611687
Spain,1961,30739250
Estonia,1961,1225077
Finland,1961,4461005
France,1961,47240543
United Kingdom,1961,52800000
Gibraltar,1961,23813
Greece,1961,8398050
Croatia,1961,4167292
Hungary,1961,10029321
Ireland,1961,2824400
Iceland,1961,179029
Italy,1961,50536350
Liechtenstein,1961,16893
Lithuania,1961,2823550
Luxembourg,1961,316845
Latvia,1961,2152681
Monaco,1961,22808
Moldova,1961,2605000
North Macedonia,1961,1507654
Malta,1961,325250
Montenegro,1961,491140
Netherlands,1961,11638712
Norway,1961,3609800
Poland,1961,29964000
Portugal,1961,8929316
Romania,1961,18555250
Slovak Republic,1961,4191667
Slovenia,1961,1594131
Sweden,1961,7519998
Ukraine,1961,43206345
Uruguay,1961,2571681
Kosovo,1961,966000
Albania,1962,1711319
Andorra,1962,15370
Austria,1962,7129864
Belgium,1962,9220578
Bulgaria,1962,8012946
Bosnia and Herzegovina,1962,3353226
Switzerland,1962,5573815
Cyprus,1962,577691
Czech Republic,1962,9624660
Germany,1962,74025784
Denmark,1962,4647727
Spain,1962,31023366
Estonia,1962,1241623
Finland,1962,4491443
France,1962,47904877
United Kingdom,1962,53250000
Gibraltar,1962,24313
Greece,1962,8448233
Croatia,1962,4196712
Hungary,1962,10061734
Ireland,1962,2836050
Iceland,1962,182378
Italy,1962,50879450
Liechtenstein,1962,17289
Lithuania,1962,2863350
Luxembourg,1962,320750
Latvia,1962,2181586
Monaco,1962,23039
Moldova,1962,2664000
North Macedonia,1962,1527111
Malta,1962,323900
Montenegro,1962,502558
Netherlands,1962,11805689
Norway,1962,3638918
Poland,1962,30308500
Portugal,1962,8993985
Romania,1962,18676550
Slovak Republic,1962,4238188
Slovenia,1962,1603649
Sweden,1962,7561588
Ukraine,1962,43752230
Uruguay,1962,2603882
Kosovo,1962,994000
Albania,1963,1762621
Andorra,1963,16412
Austria,1963,7175811
Belgium,1963,9289770
Bulgaria,1963,8078145
Bosnia and Herzegovina,1963,3417574
Switzerland,1963,5694247
Cyprus,1963,577913
Czech Republic,1963,9670685
Germany,1963,74714353
Denmark,1963,4684483
Spain,1963,31296651
Estonia,1963,1258857
Finland,1963,4523309
France,1963,48582611
United Kingdom,1963,53650000
Gibraltar,1963,24889
Greece,1963,8479625
Croatia,1963,4225675
Hungary,1963,10087947
Ireland,1963,2852650
Iceland,1963,185653
Italy,1963,51252000
Liechtenstein,1963,17719
Lithuania,1963,2898950
Luxembourg,1963,324100
Latvia,1963,2210919
Monaco,1963,23168
Moldova,1963,2720000
North Macedonia,1963,1547450
Malta,1963,322550
Montenegro,1963,513409
Netherlands,1963,11965966
Norway,1963,3666537
Poland,1963,30712000
Portugal,1963,9030355
Romania,1963,18797850
Slovak Republic,1963,4282017
Slovenia,1963,1616971
Sweden,1963,7604328
Ukraine,1963,44288608
Uruguay,1963,2635126
Kosovo,1963,1022000
Albania,1964,1814135
Andorra,1964,17469
Austria,1964,7223801
Belgium,1964,9378113
Bulgaria,1964,8144340
Bosnia and Herzegovina,1964,3478997
Switzerland,1964,5789228
Cyprus,1964,578625
Czech Republic,1964,9727804
Germany,1964,75318337
Denmark,1964,4722072
Spain,1964,31609195
Estonia,1964,1277086
Finland,1964,4548543
France,1964,49230595
United Kingdom,1964,54000000
Gibraltar,1964,25479
Greece,1964,8510429
Croatia,1964,4252876
Hungary,1964,10119835
Ireland,1964,2866550
Iceland,1964,188983
Italy,1964,51675350
Liechtenstein,1964,18168
Lithuania,1964,2935200
Luxembourg,1964,327750
Latvia,1964,2240623
Monaco,1964,23236
Moldova,1964,2774000
North Macedonia,1964,1569142
Malta,1964,321250
Montenegro,1964,521753
Netherlands,1964,12127120
Norway,1964,3694339
Poland,1964,31139450
Portugal,1964,9035365
Romania,1964,18919126
Slovak Republic,1964,4327341
Slovenia,1964,1632114
Sweden,1964,7661354
Ukraine,1964,44796964
Uruguay,1964,2665388
Kosovo,1964,1050000
Albania,1965,1864791
Andorra,1965,18549
Austria,1965,7270889
Belgium,1965,9463667
Bulgaria,1965,8204168
Bosnia and Herzegovina,1965,3535643
Switzerland,1965,5856472
Cyprus,1965,580966
Czech Republic,1965,9779358
Germany,1965,75963695
Denmark,1965,4759012
Spain,1965,31954292
Estonia,1965,1294566
Finland,1965,4563732
France,1965,49818028
United Kingdom,1965,54348050
Gibraltar,1965,26073
Greece,1965,8550333
Croatia,1965,4280923
Hungary,1965,10147935
Ireland,1965,2877300
Iceland,1965,192286
Italy,1965,52112350
Liechtenstein,1965,18649
Lithuania,1965,2971450
Luxembourg,1965,331500
Latvia,1965,2265919
Monaco,1965,23282
Moldova,1965,2825000
North Macedonia,1965,1592433
Malta,1965,318800
Montenegro,1965,526327
Netherlands,1965,12294732
Norway,1965,3723168
Poland,1965,31444950
Portugal,1965,8998595
Romania,1965,19031576
Slovak Republic,1965,4370983
Slovenia,1965,1649160
Sweden,1965,7733853
Ukraine,1965,45264548
Uruguay,1965,2694536
Kosovo,1965,1078000
Albania,1966,1914573
Andorra,1966,19647
Austria,1966,7322066
Belgium,1966,9527807
Bulgaria,1966,8258057
Bosnia and Herzegovina,1966,3586636
Switzerland,1966,5918002
Cyprus,1966,585309
Czech Republic,1966,9821040
Germany,1966,76600311
Denmark,1966,4797381
Spain,1966,32283194
Estonia,1966,1308597
Finland,1966,4580869
France,1966,50330262
United Kingdom,1966,54648500
Gibraltar,1966,26633
Greece,1966,8613651
Croatia,1966,4310701
Hungary,1966,10178653
Ireland,1966,2888800
Iceland,1966,195570
Italy,1966,52519000
Liechtenstein,1966,19152
Lithuania,1966,3008050
Luxembourg,1966,333895
Latvia,1966,2283217
Monaco,1966,23305
Moldova,1966,2873000
North Macedonia,1966,1617795
Malta,1966,315200
Montenegro,1966,526419
Netherlands,1966,12456251
Norway,1966,3753012
Poland,1966,31681000
Portugal,1966,8930990
Romania,1966,19215450
Slovak Republic,1966,4411666
Slovenia,1966,1669905
Sweden,1966,7807797
Ukraine,1966,45684979
Uruguay,1966,2722875
Kosovo,1966,1106000
Albania,1967,1965598
Andorra,1967,20758
Austria,1967,7376998
Belgium,1967,9580991
Bulgaria,1967,8310226
Bosnia and Herzegovina,1967,3632672
Switzerland,1967,5991785
Cyprus,1967,591308
Czech Republic,1967,9852899
Germany,1967,76951336
Denmark,1967,4835354
Spain,1967,32682947
Estonia,1967,1318946
Finland,1967,4605744
France,1967,50775794
United Kingdom,1967,54943600
Gibraltar,1967,27173
Greece,1967,8684088
Croatia,1967,4338683
Hungary,1967,10216604
Ireland,1967,2902450
Iceland,1967,198751
Italy,1967,52900500
Liechtenstein,1967,19691
Lithuania,1967,3044400
Luxembourg,1967,334995
Latvia,1967,2301220
Monaco,1967,23292
Moldova,1967,2918000
North Macedonia,1967,1644943
Malta,1967,311550
Montenegro,1967,522796
Netherlands,1967,12598201
Norway,1967,3784539
Poland,1967,31987155
Portugal,1967,8874520
Romania,1967,19534242
Slovak Republic,1967,4449367
Slovenia,1967,1689528
Sweden,1967,7867931
Ukraine,1967,46063228
Uruguay,1967,2750086
Kosovo,1967,1135000
Albania,1968,2022272
Andorra,1968,21890
Austria,1968,7415403
Belgium,1968,9618756
Bulgaria,1968,8369603
Bosnia and Herzegovina,1968,3675454
Switzerland,1968,6067714
Cyprus,1968,598495
Czech Republic,1968,9876346
Germany,1968,77294314
Denmark,1968,4864883
Spain,1968,33113134
Estonia,1968,1331214
Finland,1968,4626469
France,1968,51175508
United Kingdom,1968,55211700
Gibraltar,1968,27685
Greece,1968,8740765
Croatia,1968,4365628
Hungary,1968,10255815
Ireland,1968,2915550
Iceland,1968,201488
Italy,1968,53235750
Liechtenstein,1968,20235
Lithuania,1968,3078850
Luxembourg,1968,335850
Latvia,1968,2323619
Monaco,1968,23304
Moldova,1968,2960000
North Macedonia,1968,1672399
Malta,1968,307900
Montenegro,1968,517481
Netherlands,1968,12729721
Norway,1968,3816486
Poland,1968,32294655
Portugal,1968,8836650
Romania,1968,19799831
Slovak Republic,1968,4483915
Slovenia,1968,1704546
Sweden,1968,7912273
Ukraine,1968,46411810
Uruguay,1968,2774759
Kosovo,1968,1163000
Albania,1969,2081695
Andorra,1969,23058
Austria,1969,7441055
Belgium,1969,9646032
Bulgaria,1969,8434172
Bosnia and Herzegovina,1969,3717468
Switzerland,1969,6136387
Cyprus,1969,606116
Czech Republic,1969,9896580
Germany,1969,77909682
Denmark,1969,4891860
Spain,1969,33441054
Estonia,1969,1345249
Finland,1969,4623785
France,1969,51561836
United Kingdom,1969,55441750
Gibraltar,1969,28166
Greece,1969,8772764
Croatia,1969,4391490
Hungary,1969,10298723
Ireland,1969,2932650
Iceland,1969,203369
Italy,1969,53537950
Liechtenstein,1969,20766
Lithuania,1969,3107321
Luxembourg,1969,337500
Latvia,1969,2343173
Monaco,1969,23346
Moldova,1969,3002000
North Macedonia,1969,1698144
Malta,1969,304300
Montenegro,1969,513340
Netherlands,1969,12877984
Norway,1969,3847707
Poland,1969,32548300
Portugal,1969,8757705
Romania,1969,20009141
Slovak Republic,1969,4518607
Slovenia,1969,1713874
Sweden,1969,7968072
Ukraine,1969,46749283
Uruguay,1969,2795042
Kosovo,1969,1191000
Albania,1970,2135479
Andorra,1970,24276
Austria,1970,7467086
Belgium,1970,9655549
Bulgaria,1970,8489574
Bosnia and Herzegovina,1970,3760529
Switzerland,1970,6180877
Cyprus,1970,613618
Czech Republic,1970,9858071
Germany,1970,78169289
Denmark,1970,4928757
Spain,1970,33814531
Estonia,1970,1360076
Finland,1970,4606307
France,1970,51957738
United Kingdom,1970,55663250
Gibraltar,1970,28606
Greece,1970,8792806
Croatia,1970,4412252
Hungary,1970,10337910
Ireland,1970,2957250
Iceland,1970,204438
Italy,1970,53821850
Liechtenstein,1970,21266
Lithuania,1970,3139689
Luxembourg,1970,339171
Latvia,1970,2359164
Monaco,1970,23484
Moldova,1970,3044000
North Macedonia,1970,1720800
Malta,1970,302650
Montenegro,1970,512407
Netherlands,1970,13038526
Norway,1970,3875763
Poland,1970,32664300
Portugal,1970,8680431
Romania,1970,20250398
Slovak Republic,1970,4538223
Slovenia,1970,1724891
Sweden,1970,8042801
Ukraine,1970,47088857
Uruguay,1970,2809793
Kosovo,1970,1219000
Albania,1971,2187853
Andorra,1971,25559
Austria,1971,7500482
Belgium,1971,9673162
Bulgaria,1971,8536395
Bosnia and Herzegovina,1971,3805287
Switzerland,1971,6213399
Cyprus,1971,620859
Czech Republic,1971,9826815
Germany,1971,78312842
Denmark,1971,4963126
Spain,1971,34224490
Estonia,1971,1376955
Finland,1971,4612124
France,1971,52371342
United Kingdom,1971,55896223
Gibraltar,1971,29006
Greece,1971,8831036
Croatia,1971,4431275
Hungary,1971,10367537
Ireland,1971,2992050
Iceland,1971,206098
Italy,1971,54073490
Liechtenstein,1971,21728
Lithuania,1971,3179041
Luxembourg,1971,342421
Latvia,1971,2376389
Monaco,1971,23721
Moldova,1971,3087000
North Macedonia,1971,1739521
Malta,1971,302700
Montenegro,1971,515449
Netherlands,1971,13194497
Norway,1971,3903039
Poland,1971,32783500
Portugal,1971,8643756
Romania,1971,20461567
Slovak Republic,1971,4557449
Slovenia,1971,1738335
Sweden,1971,8098334
Ukraine,1971,47435010
Uruguay,1971,2818281
Kosovo,1971,1247000
Albania,1972,2243126
Andorra,1972,26892
Austria,1972,7544201
Belgium,1972,9711115
Bulgaria,1972,8576200
Bosnia and Herzegovina,1972,3851153
Switzerland,1972,6260956
Cyprus,1972,627998
Czech Republic,1972,9867632
Germany,1972,78688452
Denmark,1972,4991596
Spain,1972,34604469
Estonia,1972,1392518
Finland,1972,4639657
France,1972,52793138
United Kingdom,1972,56086065
Gibraltar,1972,29358
Greece,1972,8888628
Croatia,1972,4450564
Hungary,1972,10398489
Ireland,1972,3036850
Iceland,1972,209137
Italy,1972,54381345
Liechtenstein,1972,22151
Lithuania,1972,3213622
Luxembourg,1972,346600
Latvia,1972,2395674
Monaco,1972,24051
Moldova,1972,3131000
North Macedonia,1972,1754956
Malta,1972,302450
Montenegro,1972,521785
Netherlands,1972,13328593
Norway,1972,3933004
Poland,1972,33055650
Portugal,1972,8630430
Romania,1972,20657957
Slovak Republic,1972,4596622
Slovenia,1972,1752233
Sweden,1972,8122300
Ukraine,1972,47783005
Uruguay,1972,2821461
Kosovo,1972,1278000
Albania,1973,2296752
Andorra,1973,28232
Austria,1973,7586115
Belgium,1973,9741720
Bulgaria,1973,8620967
Bosnia and Herzegovina,1973,3897256
Switzerland,1973,6307347
Cyprus,1973,635107
Czech Republic,1973,9922266
Germany,1973,78936666
Denmark,1973,5021861
Spain,1973,34988947
Estonia,1973,1405951
Finland,1973,4666081
France,1973,53207734
United Kingdom,1973,56194527
Gibraltar,1973,29650
Greece,1973,8929086
Croatia,1973,4470161
Hungary,1973,10432055
Ireland,1973,3085950
Iceland,1973,212317
Italy,1973,54751406
Liechtenstein,1973,22563
Lithuania,1973,3244438
Luxembourg,1973,350450
Latvia,1973,2415819
Monaco,1973,24439
Moldova,1973,3174000
North Macedonia,1973,1768991
Malta,1973,302200
Montenegro,1973,530220
Netherlands,1973,13439322
Norway,1973,3960612
Poland,1973,33357200
Portugal,1973,8633100
Romania,1973,20835681
Slovak Republic,1973,4641445
Slovenia,1973,1766697
Sweden,1973,8136312
Ukraine,1973,48125842
Uruguay,1973,2822117
Kosovo,1973,1308000
Albania,1974,2350124
Andorra,1974,29520
Austria,1974,7599038
Belgium,1974,9772419
Bulgaria,1974,8678745
Bosnia and Herzegovina,1974,3942225
Switzerland,1974,6341405
Cyprus,1974,642332
Czech Republic,1974,9988459
Germany,1974,78967433
Denmark,1974,5045297
Spain,1974,35373335
Estonia,1974,1418169
Finland,1974,4690574
France,1974,53592233
United Kingdom,1974,56229974
Gibraltar,1974,29886
Greece,1974,8962022
Croatia,1974,4490660
Hungary,1974,10478720
Ireland,1974,3137500
Iceland,1974,215209
Italy,1974,55110868
Liechtenstein,1974,22983
Lithuania,1974,3273894
Luxembourg,1974,355050
Latvia,1974,2437186
Monaco,1974,24836
Moldova,1974,3215000
North Macedonia,1974,1784398
Malta,1974,301996
Montenegro,1974,538902
Netherlands,1974,13545056
Norway,1974,3985258
Poland,1974,33678899
Portugal,1974,8754365
Romania,1974,21029429
Slovak Republic,1974,4689623
Slovenia,1974,1776132
Sweden,1974,8159955
Ukraine,1974,48452626
Uruguay,1974,2824095
Kosovo,1974,1339000
Albania,1975,2404831
Andorra,1975,30705
Austria,1975,7578903
Belgium,1975,9800700
Bulgaria,1975,8720742
Bosnia and Herzegovina,1975,3985105
Switzerland,1975,6338632
Cyprus,1975,649751
Czech Republic,1975,10058620
Germany,1975,78673554
Denmark,1975,5059862
Spain,1975,35757900
Estonia,1975,1429352
Finland,1975,4711440
France,1975,53931390
United Kingdom,1975,56225800
Gibraltar,1975,30067
Greece,1975,9046541
Croatia,1975,4512082
Hungary,1975,10540525
Ireland,1975,3189550
Iceland,1975,217979
Italy,1975,55441001
Liechtenstein,1975,23438
Lithuania,1975,3301652
Luxembourg,1975,358950
Latvia,1975,2456130
Monaco,1975,25198
Moldova,1975,3251000
North Macedonia,1975,1803010
Malta,1975,304222
Montenegro,1975,546487
Netherlands,1975,13666335
Norway,1975,4007313
Poland,1975,34015199
Portugal,1975,9093470
Romania,1975,21293583
Slovak Republic,1975,4739105
Slovenia,1975,1793581
Sweden,1975,8192437
Ukraine,1975,48755665
Uruguay,1975,2830176
Kosovo,1975,1369000
Albania,1976,2458526
Andorra,1976,31777
Austria,1976,7565525
Belgium,1976,9818227
Bulgaria,1976,8758599
Bosnia and Herzegovina,1976,4025266
Switzerland,1976,6302504
Cyprus,1976,657527
Czech Republic,1976,10125939
Germany,1976,78336950
Denmark,1976,5072596
Spain,1976,36137812
Estonia,1976,1439576
Finland,1976,4725664
France,1976,54220022
United Kingdom,1976,56211968
Gibraltar,1976,30180
Greece,1976,9188150
Croatia,1976,4535934
Hungary,1976,10598677
Ireland,1976,3238050
Iceland,1976,220154
Italy,1976,55718260
Liechtenstein,1976,23931
Lithuania,1976,3328664
Luxembourg,1976,360731
Latvia,1976,2470989
Monaco,1976,25524
Moldova,1976,3284000
North Macedonia,1976,1825552
Malta,1976,305774
Montenegro,1976,552562
Netherlands,1976,13774037
Norway,1976,4026152
Poland,1976,34356300
Portugal,1976,9355810
Romania,1976,21551634
Slovak Republic,1976,4789507
Slovenia,1976,1820249
Sweden,1976,8222286
Ukraine,1976,49032729
Uruguay,1976,2841372
Kosovo,1976,1400000
Albania,1977,2513546
Andorra,1977,32771
Austria,1977,7568430
Belgium,1977,9830358
Bulgaria,1977,8804183
Bosnia and Herzegovina,1977,4063193
Switzerland,1977,6281174
Cyprus,1977,665525
Czech Republic,1977,10186755
Germany,1977,78159814
Denmark,1977,5088419
Spain,1977,36511638
Estonia,1977,1450211
Finland,1977,4738902
France,1977,54467702
United Kingdom,1977,56193492
Gibraltar,1977,30234
Greece,1977,9308479
Croatia,1977,4559571
Hungary,1977,10648031
Ireland,1977,3282200
Iceland,1977,221799
Italy,1977,55955411
Liechtenstein,1977,24448
Lithuania,1977,3355036
Luxembourg,1977,361358
Latvia,1977,2485073
Monaco,1977,25809
Moldova,1977,3312000
North Macedonia,1977,1851069
Malta,1977,306970
Montenegro,1977,557576
Netherlands,1977,13856185
Norway,1977,4043205
Poland,1977,34689050
Portugal,1977,9455675
Romania,1977,21756096
Slovak Republic,1977,4840501
Slovenia,1977,1842377
Sweden,1977,8251540
Ukraine,1977,49287127
Uruguay,1977,2856958
Kosovo,1977,1430000
Albania,1978,2566266
Andorra,1978,33737
Austria,1978,7562305
Belgium,1978,9839534
Bulgaria,1978,8814032
Bosnia and Herzegovina,1978,4100349
Switzerland,1978,6281738
Cyprus,1978,673247
Czech Republic,1978,10242098
Germany,1978,78091820
Denmark,1978,5104248
Spain,1978,36864898
Estonia,1978,1460188
Finland,1978,4752528
France,1978,54691851
United Kingdom,1978,56196504
Gibraltar,1978,30232
Greece,1978,9429959
Croatia,1978,4581085
Hungary,1978,10684822
Ireland,1978,3329100
Iceland,1978,223537
Italy,1978,56155143
Liechtenstein,1978,24975
Lithuania,1978,3379514
Luxembourg,1978,362007
Latvia,1978,2497921
Monaco,1978,26087
Moldova,1978,3339000
North Macedonia,1978,1877688
Malta,1978,310182
Montenegro,1978,562065
Netherlands,1978,13941700
Norway,1978,4058671
Poland,1978,34965600
Portugal,1978,9558250
Romania,1978,21951464
Slovak Republic,1978,4890125
Slovenia,1978,1862548
Sweden,1978,8275599
Ukraine,1978,49523314
Uruguay,1978,2875728
Kosovo,1978,1460000
Albania,1979,2617832
Andorra,1979,34818
Austria,1979,7549425
Belgium,1979,9848382
Bulgaria,1979,8825940
Bosnia and Herzegovina,1979,4138819
Switzerland,1979,6294365
Cyprus,1979,680005
Czech Republic,1979,10292341
Germany,1979,78126350
Denmark,1979,5116801
Spain,1979,37191330
Estonia,1979,1468333
Finland,1979,4764690
France,1979,54917118
United Kingdom,1979,56246951
Gibraltar,1979,30169
Greece,1979,9548258
Croatia,1979,4594778
Hungary,1979,10704152
Ireland,1979,3373750
Iceland,1979,225735
Italy,1979,56317749
Liechtenstein,1979,25459
Lithuania,1979,3397842
Luxembourg,1979,362856
Latvia,1979,2505953
Monaco,1979,26394
Moldova,1979,3366000
North Macedonia,1979,1902719
Malta,1979,313342
Montenegro,1979,566888
Netherlands,1979,14038270
Norway,1979,4072517
Poland,1979,35247217
